date,Conductivity (S/m),Density (kg/m3),Practical Salinity (psu),Pressure (decibar),Temperature (C),Turbidity (NTU),Chlorophyll (ug/l),Oxygen Concentration Corrected (ml/l)
17-11-2017 14:00:00,3.208411111,1022.836016,29.52370079,9.24395,9.2650025,2.398738889,0.313,5.260906753699669
17-11-2017 15:00:00,3.202853389,1022.819653,29.49758461,8.909341667,9.228218056,2.360475,0.333541667,5.260653411197011
17-11-2017 16:00:00,3.199002916,1022.812176,29.48352136,8.673465704,9.197809497,0.995154124,0.33173424,5.260400068694352
17-11-2017 17:00:00,3.205611944,1022.856382,29.54267179,8.568969444,9.207833611,1.254413889,0.332930556,5.260146726191694
17-11-2017 18:00:00,3.190918778,1022.705492,29.35777853,8.572952778,9.251195833,0.695558333,0.334361111,5.259893383689036
17-11-2017 19:00:00,3.201257095,1022.761314,29.43528228,8.648033879,9.284390725,1.018211382,10.077117467,5.259640041186377
17-11-2017 20:00:00,3.201563333,1022.728881,29.40206459,8.689394444,9.328384722,0.626280556,7.860291667,5.259386698683719
17-11-2017 21:00:00,3.205981172,1022.758985,29.44031765,9.004695918,9.336307415,0.571988337,9.198618439,5.25913335618106
17-11-2017 22:00:00,3.20922825,1022.782245,29.46878241,9.407688889,9.341614444,0.490783333,10.056125,5.258880013678402
17-11-2017 23:00:00,3.215939694,1022.840432,29.54089929,9.657386111,9.336749167,0.519297222,7.841319444,5.258626671175744
18-11-2017 00:00:00,3.213293418,1022.82284,29.51813019,9.533118578,9.331806998,0.575209664,0.377742294,5.258373328673085
18-11-2017 01:00:00,3.212838472,1022.827839,29.52447275,9.108138889,9.3187225,2.103413889,0.3761875,5.258119986170427
18-11-2017 02:00:00,3.203462111,1022.774826,29.45445514,8.459913889,9.288280833,2.927361111,0.3769375,5.257866643667768
18-11-2017 03:00:00,3.19215343,1022.71132,29.3700919,7.754682033,9.251275757,1.973662871,0.40339489,5.25761330116511
18-11-2017 04:00:00,3.1892806594999996,1022.697653,29.352640015,7.28084935,9.237151628500001,1.4677911015,0.393068973,5.257359958662452
18-11-2017 05:00:00,3.186407889,1022.683986,29.33518813,6.807016667,9.2230275,0.961919332,0.382743056,5.257106616159793
18-11-2017 06:00:00,3.193122022,1022.738386,29.40538321,6.645437379,9.220912802,0.572249375,0.395438767,5.256853273657135
18-11-2017 07:00:00,3.173043278,1022.565829,29.18787043,6.589969444,9.237163889,0.963277778,0.523145833,5.256599931154476
18-11-2017 08:00:00,3.172606028,1022.532866,29.15256809,6.648388889,9.274716667,0.917861111,1.037361111,5.256346588651818
18-11-2017 09:00:00,3.187375535,1022.645764,29.29466931,7.384618162,9.284150791,1.037733963,1.917981116,5.25609324614916
18-11-2017 10:00:00,3.192803278,1022.685033,29.34186943,8.220458333,9.293481944,0.872716667,2.057798611,5.255839903646501
18-11-2017 11:00:00,3.201811247,1022.761502,29.43502399,8.961596779,9.291236601,0.432435435,1.273576784,5.255586561143843
18-11-2017 12:00:00,3.209123444,1022.819579,29.50676188,9.509902778,9.294180556,0.502169444,5.530826389,5.255333218641184
18-11-2017 13:00:00,3.197605444,1022.745829,29.40716864,9.676702778,9.272723333,1.050586111,6.021916667,5.255079876138526
18-11-2017 14:00:00,3.208051791,1022.831253,29.51662895,9.54195779,9.268986115,1.854233333,6.563621216,5.2548265336358675
18-11-2017 15:00:00,3.197780583,1022.781473,29.446624,9.228416667,9.227171667,3.651597222,6.847555556,5.2545731911332085
18-11-2017 16:00:00,3.188841472,1022.725183,29.37222728,8.961027778,9.207043333,3.442636111,2.857930556,5.2543198486305505
18-11-2017 17:00:00,3.204338767,1022.816661,29.49795142,8.785856706,9.246158289,1.37942516,0.378908636,5.2540665061278915
18-11-2017 18:00:00,3.210542583,1022.85987,29.55503865,8.731430556,9.253590556,1.941411111,0.427513889,5.253813163625233
18-11-2017 19:00:00,3.207581306,1022.843749,29.53247786,8.754008333,9.244319167,1.627180556,0.397638889,5.253559821122575
18-11-2017 20:00:00,3.209807831,1022.826384,29.51836662,8.843049153,9.288976951,1.586153846,0.381789781,5.253306478619916
18-11-2017 21:00:00,3.185872167,1022.637562,29.27585289,8.919513889,9.287705556,0.838902778,0.340340278,5.253053136117258
18-11-2017 22:00:00,3.193452056,1022.696434,29.35007417,9.230416667,9.291022778,0.794869444,0.338930556,5.252799793614599
18-11-2017 23:00:00,3.203666593,1022.763782,29.43833922,9.511841155,9.309853929,0.59735629,0.343328242,5.252546451111941
19-11-2017 00:00:00,3.200952833,1022.751849,29.42049311,9.555497222,9.297979722,0.719411111,0.3908125,5.252293108609283
19-11-2017 01:00:00,3.198349181,1022.747903,29.41283035,9.247845043,9.275247431,1.811938889,0.513878089,5.252039766106624
19-11-2017 02:00:00,3.190870361,1022.702629,29.3539211,8.723769444,9.254556667,4.076058333,0.725618056,5.251786423603966
19-11-2017 03:00:00,3.177261917,1022.630685,29.25621736,8.046769444,9.205109167,4.973611111,0.613604167,5.251533081101307
19-11-2017 04:00:00,3.173673174,1022.611742,29.23275763,7.397181339,9.189437934,5.461530131,0.748680922,5.251279738598649
19-11-2017 05:00:00,3.174535972,1022.619414,29.24472853,6.911675,9.185794444,6.764619444,0.721361111,5.251026396095991
19-11-2017 06:00:00,3.171844194,1022.60765,29.22861626,6.642758333,9.172106111,10.59221667,0.769625,5.250773053593332
19-11-2017 07:00:00,3.180138878,1022.666048,29.3054884,6.591374618,9.181498473,6.568131075,0.791092752,5.250519711090674
19-11-2017 08:00:00,3.16625175,1022.508346,29.11528199,6.552255556,9.241297222,3.716622222,0.549659722,5.250266368588015
19-11-2017 09:00:00,3.162973639,1022.467147,29.06437238,6.937486111,9.262622778,3.299066667,0.496236111,5.250013026085357
19-11-2017 10:00:00,3.174672758,1022.549956,29.16883268,7.779450153,9.279930019,2.812604832,0.409309914,5.249759683582699
19-11-2017 11:00:00,3.190019583,1022.671151,29.32013326,8.624158333,9.2852775,1.364969444,0.349840278,5.24950634108004
19-11-2017 12:00:00,3.202716773,1022.773827,29.44778677,9.32817273,9.286739517,0.794648709,0.359143294,5.249252998577382
19-11-2017 13:00:00,3.181823972,1022.638784,29.26521441,9.757752778,9.250016944,1.502952778,0.451444444,5.248999656074723
19-11-2017 14:00:00,3.181151028,1022.642955,29.26810301,9.783927778,9.238101389,4.520400111,0.4928125,5.248746313572065
19-11-2017 15:00:00,3.171035518,1022.590137,29.194544,9.614782005,9.202046931,9.880246223,0.6273188,5.248492971069407
